Link,Date Uploaded,Price,Make,Model,Trim,Trim Level,Year,Mileage (km),Fuel Type,Transmission,Body Type,Engine Size (Litres),Power,Acceleration (0-100 km/h),Seats,Doors,Colour,Country of Registration,Previous Owners,Road Tax,NCT Expiry,Date Sold,Engine Size,Horsepower
https://www.donedeal.ie/cars-for-sale/2010-vw-jetta/37916915,2024-09-14,3000,Volkswagen,Jetta,,,2010,312211.0,Diesel,---,Saloon,,,,5.0,4,Black,,,,,2024-09-19,1.6 L,
https://www.donedeal.ie/cars-for-sale/hyundai-santa-fe-2010-4x4-awd-fresh-nct/37746954,2024-09-14,4400,Hyundai,Santa Fe,,,2010,223376.0,Diesel,Automatic,SUV,,,,7.0,5,Beige,,,,,,2.2 L,
https://www.donedeal.ie/cars-for-sale/vauxhall-corsa-2015/37806800,2024-09-14,5650,Vauxhall,Corsa,---,---,2015,183947.0,Petrol,Unknown,Hatchback,,,,5.0,3,Blue,,,,,,1.4 L,
https://www.donedeal.ie/cars-for-sale/nissan-qashqai-keyless-new-nct/37916896,2024-09-14,4300,Nissan,Qashqai,LE,Medium Trim,2011,146000.0,Diesel,Manual,Hatchback,,,,5.0,5,Purple,,,,,,2.0 L,150 hp
https://www.donedeal.ie/cars-for-sale/mk6-golf/37916881,2024-09-14,7000,Volkswagen,Golf,,,2010,251057.0,Diesel,---,Hatchback,,,,5.0,3,Black,,,,,,1.6 L,
https://www.donedeal.ie/cars-for-sale/mercedes-benz-e220/37691771,2024-09-14,5550,Mercedes-Benz,E-Class,Classic,Base Trim,2012,315.0,Diesel,Manual,Saloon,,,,5.0,4,Silver,,,,,,2.1 L,136 hp
https://www.donedeal.ie/cars-for-sale/o7-hyundai-accent-nct-4-25-1150e/37837739,2024-09-14,1150,Hyundai,Accent,,,2007,160000.0,Petrol,Manual,Saloon,,,,5.0,4,Red,,,,,2024-09-21,1.4 L,
https://www.donedeal.ie/cars-for-sale/car/37804905,2024-09-14,6500,Ford,Mondeo,Graphite,Base Trim,2014,232997.0,Diesel,Manual,Hatchback,,,,5.0,5,White,,,,,,2.0 L,140 hp
https://www.donedeal.ie/cars-for-sale/toyota-corolla-1-4-diesel/37916753,2024-09-14,2750,Toyota,Corolla,,,2009,251.0,Diesel,Manual,Saloon,,,,5.0,5,Silver,,,,,,1.4 L,
https://www.donedeal.ie/cars-for-sale/toyota-yaris-66-000km-nct-11-25/37916872,2024-09-14,3500,Toyota,Yaris,,,2007,66000.0,Petrol,Manual,Hatchback,,,,5.0,5,Blue,,,,,2024-09-14,1.0 L,
https://www.donedeal.ie/cars-for-sale/honda-civic-ej9/37916860,2024-09-14,4500,Honda,Civic,,,1999,239598.0,Petrol,---,Hatchback,,,,5.0,3,Silver,,,,,2024-09-25,1.4 L,
https://www.donedeal.ie/cars-for-sale/audi-a4/37916852,2024-09-14,3000,Audi,A4,,,2008,263.0,Diesel,---,Saloon,,,,5.0,4,Grey,,,,,,1.968 L,
https://www.donedeal.ie/cars-for-sale/nissan-nv200-black/37804594,2024-09-14,5000,Nissan,NV200,---,---,2014,278264.0,Diesel,Manual,Van,,,,2.0,2,Black,,,,,,2.73 m,"2,000 kg"
