Link,Date Uploaded,Price,Make,Model,Trim,Trim Level,Year,Mileage (km),Fuel Type,Transmission,Body Type,Engine Size (Litres),Power,Acceleration (0-100 km/h),Seats,Doors,Colour,Country of Registration,Previous Owners,Road Tax,NCT Expiry,Date Sold
https://www.donedeal.ie/cars-for-sale/peugeot-5008-2011/33341942,2023-02-28,5950,Peugeot,5008,ACTIVE,Medium Trim,2011,288071.0,Diesel,Manual,MPV,1.6 litre,112hp,12.9 sec,7,5,Grey,Ireland,---,280,Oct 2023,
https://www.donedeal.ie/cars-for-sale/ford-fiesta-2007/33425318,2023-02-28,2950,Ford,Fiesta,,,2007,209214.0,Petrol,Manual,Hatchback,1.2 litre,,,5,5,Silver,Ireland,2,358,Mar 2023,
https://www.donedeal.ie/cars-for-sale/toyota-auris-2008/33425415,2023-02-28,3250,Toyota,Auris,,,2008,457052.0,Diesel,Manual,Hatchback,1.4 litre,,,5,5,Grey,Ireland,2,280,Mar 2023,2023-03-12
https://www.donedeal.ie/cars-for-sale/volkswagen-golf-2-0-litre-tdi-quick-sale-needed/33387854,2023-02-28,4750,Volkswagen,Golf,,,2009,280000.0,Diesel,Unknown,Hatchback,2.0 litre,,,5,---,Blue,Ireland,2,270,May 2023,2023-03-12
https://www.donedeal.ie/cars-for-sale/08-vw-golf-1-9tdi-new-nct/33390820,2023-02-28,4450,Volkswagen,Golf,,,2008,280560.0,Diesel,Manual,Hatchback,1.9 litre,,,5,5,Black,Ireland,1,200,Dec 2022,2023-03-07
https://www.donedeal.ie/cars-for-sale/2008-toyota-auris-terra-1-4l-petrol/33461471,2023-02-28,3495,Toyota,Auris,,,2008,233855.0,Petrol,Manual,Hatchback,1.4 litre,,,5,5,Silver,Ireland,4,---,Dec 2023,
https://www.donedeal.ie/cars-for-sale/2010-mercedes-e220-auto/33046092,2023-02-28,6500,Mercedes-Benz,E-Class,,,2010,280025.0,Diesel,Automatic,Saloon,2.1 litre,,,5,4,Silver,Ireland,1,390,Jul 2023,2023-03-08
https://www.donedeal.ie/cars-for-sale/mini-cooper-1-4-petrol-new-nct-03-2024-low-km/33254445,2023-02-28,3950,Mini,ONE,,,2008,157.0,Petrol,Unknown,Hatchback,1.4 litre,,,4,3,Black,Ireland,4,270,Mar 2023,2023-03-19
https://www.donedeal.ie/cars-for-sale/75k-miles-07-vw-golf-1-4-petrol-new-nct-04-2024/33409689,2023-02-28,4250,Volkswagen,Golf,,,2007,120.0,Petrol,Unknown,Hatchback,1.4 litre,,,5,---,Blue,Ireland,---,---,Apr 2022,2023-03-08
https://www.donedeal.ie/cars-for-sale/skoda-fabia-2015-estate-se-1-4tdi/33346416,2023-02-28,5600,Skoda,Fabia,---,---,2015,144438.0,Diesel,Manual,Estate,1.4 litre,---,---,5,5,Beige,Northern Ireland,2,---,---,2023-03-07
https://www.donedeal.ie/cars-for-sale/2008-nissan-micra-sport-1-2-petrol-new-nct/33461423,2023-02-28,2995,Nissan,Micra,,,2008,156000.0,Petrol,Manual,Hatchback,1.2 litre,,,5,5,Black,Ireland,2,280,Feb 2024,
https://www.donedeal.ie/cars-for-sale/2008-golf-1-9tdi/33461417,2023-02-28,2350,Volkswagen,Golf,,,2008,415.0,Diesel,Unknown,Hatchback,1.9 litre,,,5,---,Blue,Ireland,4,280,Jun 2023,2023-03-04
https://www.donedeal.ie/cars-for-sale/mini-cooper-2010-diesel-nct-11-23-low-mileage/32900298,2023-02-28,3950,Mini,Cooper,,,2010,177027.0,Diesel,Manual,Hatchback,1.6 litre,,,4,3,Red,Ireland,---,180,Nov 2023,2023-03-12
https://www.donedeal.ie/cars-for-sale/toyota-yaris-2012/33438001,2023-02-28,6750,Toyota,Yaris,Terra,Base Trim,2012,193120.0,Petrol,Manual,Hatchback,1.0 litre,69hp,15.3 sec,5,5,Black,Ireland,2,200,Feb 2024,2023-03-02
https://www.donedeal.ie/cars-for-sale/2009-volkswagen-passat/33375844,2023-02-28,2950,Volkswagen,Passat,,,2009,289681.0,Petrol,Manual,Saloon,1.4 litre,,,5,4,Black,Ireland,1,570,May 2023,2023-03-19
https://www.donedeal.ie/cars-for-sale/suzuki-swift-1-3-petrol/33453711,2023-02-28,2650,Suzuki,Swift,,,2007,205995.0,Petrol,Manual,Hatchback,1.3 litre,,,5,5,Blue,Ireland,7,385,May 2023,2023-03-22
https://www.donedeal.ie/cars-for-sale/132-ford-focus-estate-nct-11-23/33354109,2023-02-28,3995,Ford,Focus,Edge,Medium Trim,2013,303000.0,Diesel,Manual,Estate,1.6 litre,95hp,12.7 sec,5,4,White,Ireland,2,200,Nov 2023,2023-03-05
https://www.donedeal.ie/cars-for-sale/ford-focus-2013/33408388,2023-02-28,6950,Ford,Focus,EDGE,Medium Trim,2013,202776.0,Diesel,Manual,Hatchback,1.6 litre,95hp,12.5 sec,5,4,Brown,Ireland,3,190,May 2023,2023-03-06
https://www.donedeal.ie/cars-for-sale/2009-volkswagen-golf-highline-tsi-1-4-122-hp/33461339,2023-02-28,5495,Volkswagen,Golf,,,2009,218000.0,Petrol,Manual,Hatchback,1.4 litre,,,5,5,Blue,Ireland,3,390,Mar 2024,2023-03-19
https://www.donedeal.ie/cars-for-sale/ford-focus-2006-1-4/33415491,2023-02-28,1300,Ford,Focus,,,2006,280000.0,Petrol,Manual,Hatchback,1.4 litre,,,5,5,Blue,Ireland,6,385,Feb 2023,2023-03-03
https://www.donedeal.ie/cars-for-sale/hyundai-i30-2011/33433728,2023-02-28,5950,Hyundai,i30,Classic,Base Trim,2011,181523.0,Diesel,Manual,Hatchback,1.6 litre,90hp,14.9 sec,5,5,Silver,Ireland,1,200,Mar 2022,2023-03-06
https://www.donedeal.ie/cars-for-sale/toyota-yaris-automatic/33381136,2023-02-28,3250,Toyota,Yaris,,,2008,215078.0,Petrol,Manual,Hatchback,1.0 litre,,,5,5,Blue,Ireland,1,270,Nov 2023,2023-03-19
